L,INSTANCE,PT,GUROBI,MIPGAP
5,0,-4109.0,-4109.0,0.0000000
5,1,-3731.0,-3731.0,0.0000000
5,2,-3695.0,-3695.0,0.0000000
5,3,-3945.0,-3945.0,0.0000000
5,4,-3655.0,-3655.0,0.0000000
5,5,-3830.0,-3830.0,0.0000000
5,6,-3795.0,-3795.0,0.0000000
5,7,-3818.0,-3818.0,0.0000000
5,8,-3840.0,-3840.0,0.0000000
5,9,-3718.0,-3718.0,0.0000000
5,10,-3889.0,-3889.0,0.0000000
5,11,-3574.0,-3574.0,0.0000000
5,12,-3941.0,-3941.0,0.0000000
5,13,-3803.0,-3803.0,0.0000000
5,14,-3735.0,-3735.0,0.0000000
5,15,-3604.0,-3604.0,0.0000000
5,16,-3701.0,-3701.0,0.0000000
5,17,-3964.0,-3964.0,0.0000000
5,18,-3983.0,-3983.0,0.0000000
5,19,-3837.0,-3837.0,0.0000000
5,20,-3982.0,-3982.0,0.0000000
5,21,-3763.0,-3763.0,0.0000000
5,22,-3785.0,-3785.0,0.0000000
5,23,-3983.0,-3983.0,0.0000000
5,24,-3619.0,-3619.0,0.0000000
5,25,-3871.0,-3871.0,0.0000000
5,26,-3828.0,-3828.0,0.0000000
5,27,-3817.0,-3817.0,0.0000000
5,28,-3718.0,-3718.0,0.0000000
5,29,-3898.0,-3898.0,0.0000000
5,30,-3900.0,-3900.0,0.0000000
5,31,-3748.0,-3748.0,0.0000000
5,32,-3671.0,-3671.0,0.0000000
5,33,-3614.0,-3614.0,0.0000000
5,34,-3818.0,-3818.0,0.0000000
5,35,-3590.0,-3590.0,0.0000000
5,36,-3893.0,-3893.0,0.0000000
5,37,-3763.0,-3763.0,0.0000000
5,38,-3921.0,-3921.0,0.0000000
5,39,-3905.0,-3905.0,0.0000000
5,40,-3856.0,-3856.0,0.0000000
5,41,-3743.0,-3743.0,0.0000000
5,42,-3814.0,-3814.0,0.0000000
5,43,-3773.0,-3773.0,0.0000000
5,44,-3745.0,-3745.0,0.0000000
5,45,-3701.0,-3701.0,0.0000000
5,46,-3806.0,-3806.0,0.0000000
