instance,variables,dwave_objective,classical_objective,relative_difference_percent,comparison,best_method,best_seed,per_run_budget_seconds,completed_runs,campaigns
s28-qac/10/qac_L10_0.npz,586,-29760.0,-29944.0,-0.6182795698924731,classical_better,successive_r10,1060,3.0,128,1
s28-qac/10/qac_L10_1.npz,586,-33348.0,-33580.0,-0.695693894686338,classical_better,successive_r15,1068,3.0,128,1
s28-qac/10/qac_L10_10.npz,586,-31684.0,-31956.0,-0.8584774649665446,classical_better,successive_r10,1021,3.0,128,1
s28-qac/10/qac_L10_100.npz,586,-34540.0,-34800.0,-0.7527504342790967,classical_better,successive_r10,1050,3.0,128,1
s28-qac/10/qac_L10_101.npz,586,-33484.0,-33748.0,-0.7884362680683311,classical_better,successive_r10,1051,3.0,128,1
s28-qac/10/qac_L10_102.npz,586,-34080.0,-34448.0,-1.07981220657277,classical_better,successive_r10,1006,3.0,128,1
s28-qac/10/qac_L10_103.npz,586,-31344.0,-31456.0,-0.3573251659009699,classical_better,successive_r15,1102,3.0,128,1
s28-qac/10/qac_L10_104.npz,586,-32540.0,-32884.0,-1.0571604179471419,classical_better,successive_r10,1058,3.0,128,1
s28-qac/10/qac_L10_105.npz,586,-28372.0,-28668.0,-1.0432821091216693,classical_better,successive_r10,1004,3.0,128,1
s28-qac/10/qac_L10_106.npz,586,-34196.0,-34464.0,-0.7837173938472336,classical_better,successive_r10,1001,3.0,128,1
s28-qac/10/qac_L10_107.npz,586,-33164.0,-33412.0,-0.7477988179954167,classical_better,successive_r15,1071,3.0,128,1
s28-qac/10/qac_L10_108.npz,586,-31076.0,-31396.0,-1.0297335564422705,classical_better,successive_r15,1106,3.0,128,1
s28-qac/10/qac_L10_109.npz,586,-30864.0,-31108.0,-0.7905650596163816,classical_better,successive_r10,1027,3.0,128,1
s28-qac/10/qac_L10_11.npz,586,-31844.0,-32084.0,-0.7536741615374953,classical_better,successive_r15,1110,3.0,128,1
s28-qac/10/qac_L10_110.npz,586,-36680.0,-36940.0,-0.7088331515812432,classical_better,successive_r15,1066,3.0,128,1
s28-qac/10/qac_L10_111.npz,586,-31372.0,-31812.0,-1.402524544179523,classical_better,successive_r15,1102,3.0,128,1
s28-qac/10/qac_L10_112.npz,586,-34328.0,-34516.0,-0.547657888604055,classical_better,successive_r15,1087,3.0,128,1
s28-qac/10/qac_L10_113.npz,586,-29980.0,-30228.0,-0.8272181454302868,classical_better,successive_r15,1087,3.0,128,1
s28-qac/10/qac_L10_114.npz,586,-35384.0,-35640.0,-0.7234908433190143,classical_better,successive_r10,1054,3.0,128,1
s28-qac/10/qac_L10_115.npz,586,-31692.0,-32092.0,-1.2621481761958855,classical_better,successive_r10,1043,3.0,128,1
s28-qac/10/qac_L10_116.npz,586,-31124.0,-31532.0,-1.310885490296877,classical_better,successive_r15,1084,3.0,128,1
s28-qac/10/qac_L10_117.npz,586,-32340.0,-32536.0,-0.6060606060606061,classical_better,successive_r15,1089,3.0,128,1
s28-qac/10/qac_L10_118.npz,586,-31632.0,-31684.0,-0.16439049064238745,classical_better,successive_r10,1058,3.0,128,1
s28-qac/10/qac_L10_119.npz,586,-33040.0,-33204.0,-0.4963680387409201,classical_better,successive_r10,1005,3.0,128,1
s28-qac/10/qac_L10_12.npz,586,-33704.0,-33896.0,-0.5696653216235462,classical_better,successive_r10,1004,3.0,128,1
s28-qac/10/qac_L10_120.npz,586,-35680.0,-35948.0,-0.7511210762331838,classical_better,successive_r10,1049,3.0,128,1
s28-qac/10/qac_L10_121.npz,586,-34512.0,-34836.0,-0.9388038942976356,classical_better,successive_r10,1014,3.0,128,1
s28-qac/10/qac_L10_122.npz,586,-34176.0,-34320.0,-0.42134831460674155,classical_better,successive_r15,1091,3.0,128,1
s28-qac/10/qac_L10_123.npz,586,-32460.0,-32888.0,-1.3185459026494146,classical_better,successive_r10,1027,3.0,128,1
s28-qac/10/qac_L10_124.npz,586,-35000.0,-35112.0,-0.32,classical_better,successive_r15,1108,3.0,128,1
s28-qac/10/qac_L10_125.npz,586,-31272.0,-31452.0,-0.5755947812739831,classical_better,successive_r15,1094,3.0,128,1
s28-qac/10/qac_L10_13.npz,586,-30956.0,-31044.0,-0.28427445406383256,classical_better,successive_r15,1105,3.0,128,1
s28-qac/10/qac_L10_14.npz,586,-32504.0,-32756.0,-0.7752891951759784,classical_better,successive_r15,1089,3.0,128,1
s28-qac/10/qac_L10_15.npz,586,-30932.0,-31452.0,-1.681106944264839,classical_better,successive_r15,1108,3.0,128,1
s28-qac/10/qac_L10_16.npz,586,-33144.0,-33396.0,-0.7603186097031137,classical_better,successive_r10,1031,3.0,128,1
s28-qac/10/qac_L10_17.npz,586,-34072.0,-34232.0,-0.46959380136182205,classical_better,successive_r15,1083,3.0,128,1
s28-qac/10/qac_L10_18.npz,586,-32264.0,-32476.0,-0.65707909744607,classical_better,successive_r10,1024,3.0,128,1
s28-qac/10/qac_L10_19.npz,586,-31588.0,-31964.0,-1.1903254400405217,classical_better,successive_r10,1006,3.0,128,1
s28-qac/10/qac_L10_2.npz,586,-35948.0,-36580.0,-1.7580950261488817,classical_better,successive_r15,1065,3.0,128,1
s28-qac/10/qac_L10_20.npz,586,-32336.0,-32500.0,-0.5071746660069273,classical_better,successive_r10,1025,3.0,128,1
s28-qac/10/qac_L10_21.npz,586,-35160.0,-35536.0,-1.069397042093288,classical_better,successive_r15,1076,3.0,128,1
s28-qac/10/qac_L10_22.npz,586,-36176.0,-36300.0,-0.3427686864219372,classical_better,successive_r10,1050,3.0,128,1
s28-qac/10/qac_L10_23.npz,586,-31680.0,-31980.0,-0.946969696969697,classical_better,successive_r10,1001,3.0,128,1
s28-qac/10/qac_L10_24.npz,586,-34164.0,-34548.0,-1.1239901650860555,classical_better,successive_r10,1039,3.0,128,1
s28-qac/10/qac_L10_25.npz,586,-35296.0,-35532.0,-0.6686310063463282,classical_better,successive_r10,1036,3.0,128,1
s28-qac/10/qac_L10_26.npz,586,-31816.0,-31960.0,-0.4526024641689716,classical_better,successive_r10,1044,3.0,128,1
s28-qac/10/qac_L10_27.npz,586,-32152.0,-32392.0,-0.7464543418760886,classical_better,successive_r15,1111,3.0,128,1
s28-qac/10/qac_L10_28.npz,586,-31164.0,-31528.0,-1.1680143755615453,classical_better,successive_r10,1021,3.0,128,1
s28-qac/10/qac_L10_29.npz,586,-33824.0,-34124.0,-0.8869441816461684,classical_better,successive_r15,1067,3.0,128,1
s28-qac/10/qac_L10_3.npz,586,-32904.0,-33004.0,-0.3039144176999757,classical_better,successive_r10,1031,3.0,128,1
s28-qac/10/qac_L10_30.npz,586,-34224.0,-34280.0,-0.16362786348761102,classical_better,successive_r15,1074,3.0,128,1
s28-qac/10/qac_L10_31.npz,586,-32692.0,-32900.0,-0.6362412822708919,classical_better,successive_r15,1107,3.0,128,1
s28-qac/10/qac_L10_32.npz,586,-33032.0,-33164.0,-0.3996124969726326,classical_better,successive_r15,1066,3.0,128,1
s28-qac/10/qac_L10_33.npz,586,-31328.0,-31508.0,-0.5745658835546475,classical_better,successive_r10,1035,3.0,128,1
s28-qac/10/qac_L10_34.npz,586,-32020.0,-32416.0,-1.2367270455965023,classical_better,successive_r15,1083,3.0,128,1
s28-qac/10/qac_L10_35.npz,586,-34316.0,-34576.0,-0.757664063410654,classical_better,successive_r15,1068,3.0,128,1
s28-qac/10/qac_L10_36.npz,586,-31728.0,-31916.0,-0.5925365607665154,classical_better,successive_r15,1078,3.0,128,1
s28-qac/10/qac_L10_37.npz,586,-34260.0,-34588.0,-0.9573847051955633,classical_better,successive_r10,1051,3.0,128,1
s28-qac/10/qac_L10_38.npz,586,-32804.0,-32920.0,-0.3536154127545421,classical_better,successive_r10,1000,3.0,128,1
s28-qac/10/qac_L10_39.npz,586,-32528.0,-33068.0,-1.660108214461387,classical_better,successive_r15,1106,3.0,128,1
s28-qac/10/qac_L10_4.npz,586,-32128.0,-32676.0,-1.7056772908366533,classical_better,successive_r15,1100,3.0,128,1
s28-qac/10/qac_L10_40.npz,586,-31560.0,-31704.0,-0.45627376425855515,classical_better,successive_r15,1100,3.0,128,1
s28-qac/10/qac_L10_41.npz,586,-30732.0,-31164.0,-1.405700898086685,classical_better,successive_r10,1016,3.0,128,1
s28-qac/10/qac_L10_42.npz,586,-32920.0,-32964.0,-0.1336573511543135,classical_better,successive_r15,1104,3.0,128,1
s28-qac/10/qac_L10_43.npz,586,-34124.0,-34444.0,-0.9377564177704841,classical_better,successive_r10,1051,3.0,128,1
s28-qac/10/qac_L10_44.npz,586,-32096.0,-32284.0,-0.5857427716849452,classical_better,successive_r10,1042,3.0,128,1
s28-qac/10/qac_L10_45.npz,586,-31796.0,-31948.0,-0.4780475531513398,classical_better,successive_r10,1056,3.0,128,1
s28-qac/10/qac_L10_46.npz,586,-31804.0,-32112.0,-0.9684316438183876,classical_better,successive_r10,1006,3.0,128,1
s28-qac/10/qac_L10_47.npz,586,-36324.0,-36348.0,-0.06607201850016518,classical_better,successive_r10,1040,3.0,128,1
s28-qac/10/qac_L10_48.npz,586,-35164.0,-35480.0,-0.8986463428506427,classical_better,successive_r10,1060,3.0,128,1
s28-qac/10/qac_L10_49.npz,586,-31824.0,-32264.0,-1.3826043237807943,classical_better,successive_r15,1089,3.0,128,1
s28-qac/10/qac_L10_5.npz,586,-31284.0,-31756.0,-1.5087584707837873,classical_better,successive_r15,1082,3.0,128,1
s28-qac/10/qac_L10_50.npz,586,-32832.0,-33340.0,-1.547270955165692,classical_better,successive_r10,1011,3.0,128,1
s28-qac/10/qac_L10_51.npz,586,-31676.0,-32072.0,-1.2501578482131581,classical_better,successive_r10,1033,3.0,128,1
s28-qac/10/qac_L10_52.npz,586,-32836.0,-33276.0,-1.3399926909489586,classical_better,successive_r15,1085,3.0,128,1
s28-qac/10/qac_L10_53.npz,586,-35800.0,-35924.0,-0.3463687150837989,classical_better,successive_r10,1009,3.0,128,1
s28-qac/10/qac_L10_54.npz,586,-31708.0,-31832.0,-0.3910685000630756,classical_better,successive_r10,1022,3.0,128,1
s28-qac/10/qac_L10_55.npz,586,-32400.0,-32548.0,-0.4567901234567901,classical_better,successive_r10,1041,3.0,128,1
s28-qac/10/qac_L10_56.npz,586,-32744.0,-33008.0,-0.8062545809919375,classical_better,successive_r10,1052,3.0,128,1
s28-qac/10/qac_L10_57.npz,586,-34720.0,-35248.0,-1.5207373271889402,classical_better,successive_r15,1078,3.0,128,1
s28-qac/10/qac_L10_58.npz,586,-34896.0,-35332.0,-1.2494268684089866,classical_better,successive_r10,1054,3.0,128,1
s28-qac/10/qac_L10_59.npz,586,-33384.0,-33680.0,-0.8866522885214474,classical_better,successive_r15,1095,3.0,128,1
s28-qac/10/qac_L10_6.npz,586,-32176.0,-32636.0,-1.4296369965191447,classical_better,successive_r10,1020,3.0,128,1
s28-qac/10/qac_L10_60.npz,586,-32948.0,-33332.0,-1.1654728663348306,classical_better,successive_r10,1019,3.0,128,1
s28-qac/10/qac_L10_61.npz,586,-31368.0,-31556.0,-0.5993369038510584,classical_better,successive_r10,1061,3.0,128,1
s28-qac/10/qac_L10_62.npz,586,-33860.0,-34444.0,-1.724748966331955,classical_better,successive_r10,1004,3.0,128,1
